08:45;entry;User has selected command 2
08:46;entry;User has entered name; yf
08:46;entry;User has entered surname; dff
08:46;entry;User has entered phone; 345
08:46;entry;User has entered mail; yukyu
08:46;entry;User has entered description; rere
08:46;entry;User has selected command 2
08:49;entry;User has selected command 2
08:49;entry;User has entered name; настя
08:49;entry;User has entered surname; птичка
08:49;entry;User has entered phone; 123
08:49;entry;User has entered mail; птичкина
08:50;entry;User has entered description; хорошка
08:54;entry;User has selected command 2
08:54;entry;User has entered name; yfcntyf
08:54;entry;User has entered surname; dfg
08:54;entry;User has entered phone; 12345
08:54;entry;User has entered mail; @
08:54;entry;User has entered description; pp
08:55;entry;User has selected command 2
08:55;entry;User has entered name; sdf
08:55;entry;User has entered surname; sdfgh
08:55;entry;User has entered phone; 34567345
08:55;entry;User has entered mail; @@@
08:55;entry;User has entered description; klhjfhjkfdghk
10:51;entry;User has selected command 2
10:51;entry;User has entered name; Денис
10:51;entry;User has entered surname; Щанников
10:51;entry;User has entered phone; +799876654231
10:52;entry;User has entered mail; mail@yandex.ru
10:52;entry;User has entered description; Фортепианный мастер
10:55;entry;User has selected command 2
10:55;entry;User has entered name; Елизавета 
10:55;entry;User has entered surname; Щанникова
10:55;entry;User has entered phone; +79865765234454
10:56;entry;User has entered mail; майл
10:56;entry;User has entered description; учит Java
11:24;entry;User has selected command 2
11:24;entry;User has entered name; Владимир
11:24;entry;User has entered surname; Антасюк
11:24;entry;User has entered phone; +9876576435431
11:25;entry;User has entered mail; майл
11:25;entry;User has entered description; бас
